0 0
0 0
1 3
0 9
2 13
3 19
1 24
2 30
1 33
0 39
3 43
2 48
2 52
2 55
1 61
2 62
3 62
1 62
1 67
0 69
0 73
1 74
1 78
1 81
0 84
1 88
3 92
1 95
0 100
0 103
0 109
0 115
1 116
2 119
1 122
3 123
1 126
1 128
0 134
1 138
3 142
1 143
1 147
2 152
1 152
1 154
0 157
1 159
1 162
3 166
2 169
1 171
1 175
0 179
2 182
1 188
3 193
0 197
2 200
1 203
2 205
1 205
2 207
2 209
2 215
1 217
1 220
1 220
2 220
1 226
0 226
0 229
0 234
2 238
2 244
3 245
1 247
1 253
0 257
1 263
1 269
1 271
1 273
0 276
2 277
1 281
0 281
0 281
0 284
2 284
3 286
1 287
1 290
2 294
1 295
1 297
1 302
1 302
1 307
1 312
0 313
0 319
1 322
1 322
1 324
0 329
3 332
1 332
0 333
0 333
1 337
2 342
1 342
0 342
1 348
1 349
0 351
0 355
1 357
0 360
2 362
2 368
0 371
1 371
0 373
2 377
1 381
0 386
0 388
1 391
1 393
1 393
2 394
0 395
2 397
1 399
0 401
1 404
2 406
2 411
1 417
0 417
0 417
1 422
1 422
2 425
2 431
2 433
1 438
1 443
3 448
0 448
1 454
1 458
0 462
2 467
2 472
1 478
0 484
1 487
3 487
1 492
1 497
2 498
1 499
0 499
1 505
1 511
0 514
0 514
0 514
1 518
1 520
1 521
1 524
1 528
2 528
1 529
1 529
1 529
1 535
2 535
0 539
0 544
0 549
1 551
1 556
2 558
0 561
2 561
1 567
1 567
2 567
1 568
1 571
0 575
0 575
2 580
2 580
1 580
1 586
1 592
1 597
2 603
1 603
1 608
2 610
0 612
2 617
1 620
0 625
0 631
2 631
1 632
2 633
2 638
1 638
1 640
1 643
1 644
1 649
0 649
1 654
1 657
1 663
1 666
1 670
0 672
1 675
1 679
1 680
1 684
1 690
1 692
0 693
0 697
2 702
1 708
1 708
2 712
1 713
0 715
3 716
2 720
1 723
0 726
1 727
2 727
1 730
0 731
1 732
0 732
1 738
1 743
2 744
1 749
1 749
0 753
1 756
0 760
1 763
1 769
2 773
2 779
0 781
1 782
3 788
1 792
0 794
2 794
1 797
1 798
1 798
0 799
0 802
2 803
1 806
1 812
0 815
1 817
1 820
2 822
1 828
0 832
1 834
2 840
0 846
0 846
1 850
1 856
0 860
0 863
0 868
2 868
1 869
1 873
0 874
1 874
0 880
1 883
1 885
1 889
1 889
1 894
1 900
0 904
1 904
0 909
1 914
2 917
2 922
1 922
1 926
1 928
2 932
1 934
1 940
3 940
1 942
3 948
1 950
3 956
1 958
0 958
0 963
2 963
1 963
2 967
0 972
1 975
1 977
1 981
1 981
1 986
1 986
1 992
1 994
2 997
0 999
1 1000
1 1001
0 1004
0 1005
2 1009
1 1011
1 1014
1 1018
1 1019
2 1019
1 1021
1 1025
2 1028
1 1033
0 1036
2 1039
2 1044
1 1046
1 1049
1 1053
1 1056
1 1058
1 1063
1 1065
1 1067
1 1069
2 1071
2 1073
0 1075
2 1076
2 1077
0 1078
2 1082
2 1083
1 1085
1 1091
1 1093
2 1098
2 1103
1 1108
1 1108
