0 0
0 0
0 2
0 8
0 9
1 9
0 17
0 23
0 26
2 33
0 37
0 45
0 50
1 53
0 55
0 61
0 66
0 71
0 74
0 82
0 88
0 95
0 96
0 101
0 104
0 110
0 115
0 116
0 122
0 130
0 134
0 137
0 144
0 149
0 152
0 153
0 154
0 160
0 167
0 171
0 176
0 182
0 186
0 189
0 193
0 193
0 201
0 208
0 215
0 220
1 228
0 228
0 228
1 230
2 236
0 241
0 248
2 254
1 262
0 266
1 267
1 270
0 270
0 273
0 273
2 277
0 280
1 281
0 288
0 291
1 296
2 296
0 299
0 302
0 303
1 310
0 316
0 318
0 325
0 333
0 333
0 338
0 345
0 349
1 357
0 360
0 365
0 366
2 374
0 376
0 384
0 387
0 387
0 390
0 391
0 392
1 397
0 404
0 407
1 409
